#Table Version   5
#[Z/Z_SOLAR]= 0.00 [A/Fe]= 0.0 GN93     | VALID RANGE:  110 110 110 110 110 110 110 110 110 110 110 110 110
#Teff(K)| Pgas@  log g = 0.00   log g = 0.50   log g = 1.00   log g = 1.50   log g = 2.00   log g = 2.50   log g = 3.00   log g = 3.50   log g = 4.00   log g = 4.50   log g = 5.00   log g = 5.50   log g = 6.00 
  0.9000000E+04  0.1864068E+02  0.1789453E+02  0.1696240E+02  0.1711480E+02  0.2460000E+02  0.7391000E+02  0.2036000E+03  0.5372000E+03  0.1381000E+04  0.3479000E+04  0.8585000E+04  0.1113800E+05  0.1113800E+05
  0.9250000E+04  0.1793795E+02  0.1737207E+02  0.1674743E+02  0.1666372E+02  0.1779000E+02  0.5375000E+02  0.1491000E+03  0.3959000E+03  0.1026000E+04  0.2611000E+04  0.6547000E+04  0.8515000E+04  0.8515000E+04
  0.9500000E+04  0.1698346E+02  0.1644381E+02  0.1569892E+02  0.1488856E+02  0.1381000E+02  0.4086000E+02  0.1127000E+03  0.2999000E+03  0.7803000E+03  0.1998000E+04  0.5050000E+04  0.6576000E+04  0.6576000E+04
  0.9750000E+04  0.1584677E+02  0.1530936E+02  0.1445162E+02  0.1327744E+02  0.1160000E+02  0.3282000E+02  0.8836000E+02  0.2329000E+03  0.6063000E+03  0.1559000E+04  0.3964000E+04  0.5166500E+04  0.5166500E+04
  0.1000000E+05  0.1466752E+02  0.1416723E+02  0.1330924E+02  0.1208674E+02  0.1043000E+02  0.2805000E+02  0.7241000E+02  0.1863000E+03  0.4805000E+03  0.1237000E+04  0.3160000E+04  0.4121500E+04  0.4121500E+04
  0.1025000E+05  0.1358528E+02  0.1315942E+02  0.1238798E+02  0.1127532E+02  0.9822000E+01  0.2533000E+02  0.6238000E+02  0.1545000E+03  0.3897000E+03  0.9964000E+03  0.2550000E+04  0.3326800E+04  0.3326800E+04
  0.1050000E+05  0.1272222E+02  0.1238987E+02  0.1174056E+02  0.1078058E+02  0.9544000E+01  0.2390000E+02  0.5635000E+02  0.1335000E+03  0.3258000E+03  0.8176000E+03  0.2083000E+04  0.2715700E+04  0.2715700E+04
  0.1075000E+05  0.1218620E+02  0.1194794E+02  0.1141366E+02  0.1056972E+02  0.9458000E+01  0.2325000E+02  0.5296000E+02  0.1202000E+03  0.2816000E+03  0.6872000E+03  0.1727000E+04  0.2246900E+04  0.2246900E+04
  0.1100000E+05  0.1207447E+02  0.1192338E+02  0.1147847E+02  0.1066298E+02  0.9474000E+01  0.2308000E+02  0.5128000E+02  0.1121000E+03  0.2518000E+03  0.5932000E+03  0.1459000E+04  0.1891900E+04  0.1891900E+04
  0.1125000E+05  0.1246553E+02  0.1240838E+02  0.1205755E+02  0.1119107E+02  0.9560000E+01  0.2322000E+02  0.5074000E+02  0.1076000E+03  0.2326000E+03  0.5270000E+03  0.1258000E+04  0.1623500E+04  0.1623500E+04
  0.1150000E+05  0.1339024E+02  0.1347301E+02  0.1334315E+02  0.1256565E+02  0.9690000E+01  0.2358000E+02  0.5099000E+02  0.1058000E+03  0.2212000E+03  0.4817000E+03  0.1111000E+04  0.1425650E+04  0.1425650E+04
  0.1175000E+05  0.1478187E+02  0.1507832E+02  0.1549983E+02  0.1614069E+02  0.1771507E+02  0.2406000E+02  0.5176000E+02  0.1058000E+03  0.2153000E+03  0.4525000E+03  0.1005000E+04  0.1281250E+04  0.1281250E+04
  0.1200000E+05  0.1644797E+02  0.1690233E+02  0.1768220E+02  0.1892252E+02  0.2102034E+02  0.2463000E+02  0.5288000E+02  0.1069000E+03  0.2134000E+03  0.4351000E+03  0.9322000E+03  0.1180750E+04  0.1180750E+04
  0.1225000E+05  0.1821359E+02  0.1874090E+02  0.1965561E+02  0.2100181E+02  0.2287479E+02  0.2528000E+02  0.5429000E+02  0.1091000E+03  0.2145000E+03  0.4268000E+03  0.8850000E+03  0.1114100E+04  0.1114100E+04
  0.1250000E+05  0.1997878E+02  0.2052653E+02  0.2145382E+02  0.2271908E+02  0.2426438E+02  0.2597000E+02  0.5590000E+02  0.1119000E+03  0.2178000E+03  0.4253000E+03  0.8578000E+03  0.1074050E+04  0.1074050E+04
  0.1275000E+05  0.2172362E+02  0.2228303E+02  0.2319186E+02  0.2434071E+02  0.2557121E+02  0.2669000E+02  0.5765000E+02  0.1152000E+03  0.2228000E+03  0.4289000E+03  0.8455000E+03  0.1053800E+04  0.1053800E+04
  0.1300000E+05  0.2350402E+02  0.2410173E+02  0.2502381E+02  0.2610639E+02  0.2708620E+02  0.2742000E+02  0.5950000E+02  0.1189000E+03  0.2289000E+03  0.4361000E+03  0.8443000E+03  0.1048400E+04  0.1048400E+04
  0.1400000E+05  0.2545024E+02  0.2613264E+02  0.2713216E+02  0.2827060E+02  0.2937373E+02  0.3038000E+02  0.6758000E+02  0.1362000E+03  0.2609000E+03  0.4878000E+03  0.9078000E+03  0.1117800E+04  0.1117800E+04
  0.1500000E+05  0.2776549E+02  0.2857787E+02  0.2969039E+02  0.3086454E+02  0.3192546E+02  0.3301000E+02  0.7630000E+02  0.1565000E+03  0.3019000E+03  0.5640000E+03  0.1037000E+04  0.1273500E+04  0.1273500E+04
  0.1600000E+05  0.3071646E+02  0.3170615E+02  0.3296445E+02  0.3408521E+02  0.3466905E+02  0.3481000E+02  0.8480000E+02  0.1783000E+03  0.3485000E+03  0.6545000E+03  0.1203000E+04  0.1477250E+04  0.1477250E+04
  0.1700000E+05  0.3458250E+02  0.3582408E+02  0.3735475E+02  0.3848242E+02  0.3812275E+02  0.3517000E+02  0.9191000E+02  0.1998000E+03  0.3984000E+03  0.7562000E+03  0.1397000E+04  0.1717400E+04  0.1717400E+04
  0.1800000E+05  0.3954936E+02  0.4116620E+02  0.4331481E+02  0.4513047E+02  0.4449450E+02  0.3455000E+02  0.9751000E+02  0.2199000E+03  0.4491000E+03  0.8653000E+03  0.1612000E+04  0.1985350E+04  0.1985350E+04
  0.1900000E+05  0.4558565E+02  0.4769486E+02  0.5093999E+02  0.5512353E+02  0.6058689E+02  0.7044896E+02  0.1018000E+03  0.2377000E+03  0.4971000E+03  0.9752000E+03  0.1838000E+04  0.2269400E+04  0.2269400E+04
  0.2000000E+05  0.5242992E+02  0.5497072E+02  0.5912176E+02  0.6489685E+02  0.7289811E+02  0.8509144E+02  0.1050000E+03  0.2552000E+03  0.5444000E+03  0.1085000E+04  0.2070000E+04  0.2562500E+04  0.2562500E+04
  0.2100000E+05  0.5984422E+02  0.6270442E+02  0.6737872E+02  0.7370712E+02  0.8181205E+02  0.9234337E+02  0.1062000E+03  0.2719000E+03  0.5929000E+03  0.1197000E+04  0.2305000E+04  0.2859000E+04  0.2859000E+04
  0.2200000E+05  0.6782958E+02  0.7099719E+02  0.7599890E+02  0.8229461E+02  0.8931356E+02  0.9669626E+02  0.1046000E+03  0.2863000E+03  0.6416000E+03  0.1316000E+04  0.2554000E+04  0.3173000E+04  0.3173000E+04
  0.2300000E+05  0.7671416E+02  0.8035466E+02  0.8584518E+02  0.9214324E+02  0.9777289E+02  0.1010929E+03  0.1015000E+03  0.2981000E+03  0.6895000E+03  0.1439000E+04  0.2820000E+04  0.3510500E+04  0.3510500E+04
  0.2400000E+05  0.8710439E+02  0.9157028E+02  0.9813997E+02  0.1052574E+03  0.1102980E+03  0.1091667E+03  0.9752000E+02  0.3077000E+03  0.7349000E+03  0.1561000E+04  0.3081000E+04  0.3841000E+04  0.3841000E+04
  0.2500000E+05  0.9972020E+02  0.1054985E+03  0.1141367E+03  0.1238753E+03  0.1313556E+03  0.1288186E+03  0.9212000E+02  0.3144000E+03  0.7766000E+03  0.1677000E+04  0.3331000E+04  0.4158000E+04  0.4158000E+04
  0.2600000E+05  0.1152013E+03  0.1227728E+03  0.1345376E+03  0.1492452E+03  0.1656144E+03  0.1841873E+03  0.2155950E+03  0.3207000E+03  0.8183000E+03  0.1799000E+04  0.3602000E+04  0.4503500E+04  0.4503500E+04
