#Table Version   5
#[Z/Z_SOLAR]= 0.00 [A/Fe]= 0.0 GN93     | VALID RANGE:  110 110 110 110 110 110 110 110 110 110 110 110 110
#Teff(K)| Pgas@  log g = 0.00   log g = 0.50   log g = 1.00   log g = 1.50   log g = 2.00   log g = 2.50   log g = 3.00   log g = 3.50   log g = 4.00   log g = 4.50   log g = 5.00   log g = 5.50   log g = 6.00 
  0.1400000E+05  0.1394528E+03  0.1440127E+03  0.1507864E+03  0.1586869E+03  0.1667422E+03  0.1750000E+03  0.3904000E+03  0.7841000E+03  0.1494000E+04  0.2764000E+04  0.5046000E+04  0.6187000E+04  0.6187000E+04
  0.1500000E+05  0.1533587E+03  0.1586998E+03  0.1661166E+03  0.1740868E+03  0.1814495E+03  0.1889000E+03  0.4437000E+03  0.9170000E+03  0.1778000E+04  0.3327000E+04  0.6100000E+04  0.7486500E+04  0.7486500E+04
  0.1600000E+05  0.1711724E+03  0.1776059E+03  0.1858906E+03  0.1934079E+03  0.1974641E+03  0.1981000E+03  0.4935000E+03  0.1050000E+04  0.2072000E+04  0.3923000E+04  0.7244000E+04  0.8904500E+04  0.8904500E+04
  0.1700000E+05  0.1946797E+03  0.2027185E+03  0.2127384E+03  0.2203374E+03  0.2186411E+03  0.2007000E+03  0.5385000E+03  0.1184000E+04  0.2379000E+04  0.4545000E+04  0.8449000E+04  0.1040100E+05  0.1040100E+05
  0.1800000E+05  0.2251420E+03  0.2356153E+03  0.2495960E+03  0.2615664E+03  0.2582070E+03  0.1971000E+03  0.5769000E+03  0.1313000E+04  0.2678000E+04  0.5174000E+04  0.9711000E+04  0.1197950E+05  0.1197950E+05
  0.1900000E+05  0.2625285E+03  0.2762336E+03  0.2972404E+03  0.3240545E+03  0.3582713E+03  0.4181657E+03  0.6070000E+03  0.1434000E+04  0.2963000E+04  0.5802000E+04  0.1102000E+05  0.1362900E+05  0.1362900E+05
  0.2000000E+05  0.3053910E+03  0.3220203E+03  0.3490296E+03  0.3862225E+03  0.4367873E+03  0.5118413E+03  0.6312000E+03  0.1552000E+04  0.3255000E+04  0.6425000E+04  0.1231000E+05  0.1525250E+05  0.1525250E+05
  0.2100000E+05  0.3523405E+03  0.3712084E+03  0.4019402E+03  0.4433875E+03  0.4960447E+03  0.5633290E+03  0.6491000E+03  0.1665000E+04  0.3561000E+04  0.7055000E+04  0.1356000E+05  0.1681250E+05  0.1681250E+05
  0.2200000E+05  0.4032860E+03  0.4241997E+03  0.4573120E+03  0.4993594E+03  0.5471202E+03  0.5989992E+03  0.6570000E+03  0.1772000E+04  0.3884000E+04  0.7743000E+04  0.1490000E+05  0.1847850E+05  0.1847850E+05
  0.2300000E+05  0.4599162E+03  0.4836038E+03  0.5196297E+03  0.5618661E+03  0.6020709E+03  0.6318984E+03  0.6510000E+03  0.1868000E+04  0.4216000E+04  0.8517000E+04  0.1641000E+05  0.2035650E+05  0.2035650E+05
  0.2400000E+05  0.5253646E+03  0.5535315E+03  0.5953280E+03  0.6416224E+03  0.6774353E+03  0.6797915E+03  0.6258000E+03  0.1943000E+04  0.4526000E+04  0.9302000E+04  0.1799000E+05  0.2233400E+05  0.2233400E+05
  0.2500000E+05  0.6031732E+03  0.6382133E+03  0.6908778E+03  0.7509085E+03  0.7990144E+03  0.7896325E+03  0.5762000E+03  0.1988000E+04  0.4797000E+04  0.1005000E+05  0.1957000E+05  0.2433000E+05  0.2433000E+05
  0.2600000E+05  0.6960842E+03  0.7402567E+03  0.8091881E+03  0.8959513E+03  0.9944813E+03  0.1111327E+04  0.1317263E+04  0.1998000E+04  0.5021000E+04  0.1074000E+05  0.2111000E+05  0.2629500E+05  0.2629500E+05
  0.2700000E+05  0.8056450E+03  0.8600014E+03  0.9464510E+03  0.1058697E+04  0.1192718E+04  0.1356287E+04  0.1588180E+04  0.1969000E+04  0.5185000E+04  0.1134000E+05  0.2257000E+05  0.2818500E+05  0.2818500E+05
  0.2800000E+05  0.9331723E+03  0.9982208E+03  0.1101852E+04  0.1235012E+04  0.1387031E+04  0.1548592E+04  0.1716380E+04  0.1898000E+04  0.5279000E+04  0.1184000E+05  0.2390000E+05  0.2993000E+05  0.2993000E+05
