WAVELENGTH,FLUX,CONTINUUM
1125.8261391424933,1.6157696E-10,7.144781E-10
1126.9547811592784,1.341184E-10,7.3725437E-10
1128.084554696879,8.229632E-11,7.600307E-10
1129.215460755225,5.954381E-11,7.8312445E-10
1130.3475005342323,9.68192E-11,8.062976E-10
1131.480675233817,1.4578432E-10,8.301056E-10
1132.6149859539023,1.5110144E-10,8.539136E-10
1133.7504337944108,1.3261056E-10,8.777216E-10
1134.887019955259,1.4570496E-10,9.023232E-10
1136.0247455363694,1.8046464E-10,9.269248E-10
1137.1636116376656,1.7689344E-10,9.515264E-10
1138.3036194590634,1.2570624E-10,9.76128E-10
1139.4447702004788,6.970982E-11,1.0007296E-9
1140.5870648618418,7.344768E-11,1.0261247E-9
1141.7305047430614,1.04040956E-10,1.05152E-9
1142.8750909440605,1.0689792E-10,1.0769152E-9
1144.0208245647627,1.1086592E-10,1.1015168E-9
1145.1677067050903,1.4459392E-10,1.126912E-9
1146.3157386649527,1.5427584E-10,1.1523071E-9
1147.4649215442732,1.4665728E-10,1.178496E-9
1148.6152565429672,1.5887872E-10,1.2038912E-9
1149.7667446609653,1.6927487E-10,1.2292863E-9
1150.919387098183,1.6879872E-10,1.2546816E-9
1152.0731851545297,1.5800576E-10,1.2800768E-9
1153.2281398299356,1.5006976E-10,1.3007104E-9
1154.3842524243091,1.5768832E-10,1.3062655E-9
1155.5415240375737,1.4840319E-10,1.3118208E-9
1156.6999556696596,1.1086592E-10,1.317376E-9
1157.8595487204682,7.714585E-11,1.3229312E-9
1159.020304289923,8.88832E-11,1.3284864E-9
1160.1822234779468,1.2403968E-10,1.3340415E-9
1161.3453075844488,1.3602304E-10,1.3395968E-9
1162.5095576093588,1.3022976E-10,1.3443584E-9
1163.6749747525932,1.12056316E-10,1.3499136E-9
1164.8415603140606,1.0070784E-10,1.3554687E-9
1166.0093152936915,9.332736E-11,1.361024E-9
1167.1782409913947,7.8479105E-11,1.3665792E-9
1168.348338607086,6.737664E-11,1.3713408E-9
1169.5196091406956,5.942477E-11,1.3768959E-9
1170.692053892133,5.1774463E-11,1.3824512E-9
1171.8656740613133,5.1703038E-11,1.3872128E-9
1173.04047074816,5.1909376E-11,1.392768E-9
1174.2164452525824,4.727475E-11,1.3975295E-9
1175.39359857451,4.1790977E-11,1.4030848E-9
1176.5719320138523,3.7902334E-11,1.4078464E-9
1177.751446770525,3.535488E-11,1.4134016E-9
1178.9321439444514,3.088691E-11,1.4181631E-9
1180.1140248355402,2.472064E-11,1.4237184E-9
1181.297090443722,2.1117696E-11,1.42848E-9
1182.481342168898,1.9252737E-11,1.4340352E-9
1183.6667811109917,1.682432E-11,1.4387967E-9
1184.8534084699193,1.5022848E-11,1.444352E-9
1186.0412253456036,1.38562556E-11,1.4491136E-9
1187.2302330379537,1.2403968E-11,1.4538751E-9
1188.4204327468854,9.9914235E-12,1.4586368E-9
1189.611825672315,7.874099E-12,1.464192E-9
1190.8044129141656,7.693952E-12,1.4689536E-9
1191.9981956723527,7.441587E-12,1.4737151E-9
1193.193175246786,5.6353537E-12,1.4784768E-9
1194.3893528373812,5.4036224E-12,1.4832384E-9
1195.5867295440614,6.967808E-12,1.488E-9
1196.7853066667353,7.3193725E-12,1.4927616E-9
1197.9850853053265,7.1074817E-12,1.4975232E-9
1199.1860667597437,6.8574976E-12,1.5022847E-9
1200.388252229903,6.5900545E-12,1.5070464E-9
1201.5916428157275,6.7678207E-12,1.511808E-9
1202.796239817126,6.7352833E-12,1.5165695E-9
1204.0020444340146,6.3003903E-12,1.5213312E-9
1205.2090579663022,5.7345535E-12,1.5260928E-9
1206.4172814139195,5.13856E-12,1.5308543E-9
1207.6267161767678,4.537011E-12,1.535616E-9
1208.8373633547703,3.8640384E-12,1.539584E-9
1210.0492242478363,3.1124992E-12,1.5443455E-9
1211.2622999558882,2.3038208E-12,1.5491072E-9
1212.476591878829,1.4816512E-12,1.5530752E-9
1213.692101016588,7.581261E-13,1.5578367E-9
1214.9088287690674,3.0132992E-13,1.5618048E-9
1216.1267763361834,2.845056E-13,1.5665664E-9
1217.3459448178587,7.3566717E-13,1.5705344E-9
1218.5663355140025,1.50784E-12,1.575296E-9
1219.787949724524,2.4300032E-12,1.5792639E-9
1221.010788549346,3.3966079E-12,1.583232E-9
1222.2348532883775,4.3417856E-12,1.5879936E-9
1223.460145141535,5.213952E-12,1.5927551E-9
1224.6866654087266,6.0416767E-12,1.5959296E-9
1225.9144151898763,6.862259E-12,1.5998975E-9
1227.1433957848926,7.621734E-12,1.6046592E-9
1228.3736084936847,8.37248E-12,1.6078335E-9
1229.6050545161686,9.174016E-12,1.6125952E-9
1230.837734952267,9.9914235E-12,1.6157696E-9
1232.0716513018756,1.08326395E-11,1.6205312E-9
1233.3068045649243,1.1570688E-11,1.6252928E-9
1234.5431960413212,1.2451584E-11,1.6276736E-9
1235.7808270309765,1.3380096E-11,1.6324352E-9
1237.0196987338056,1.43324155E-11,1.6356095E-9
1238.2598124497179,1.5260928E-11,1.6395776E-9
1239.5011693786291,1.6316415E-11,5.598848E-9
1240.7437707204554,1.7911552E-11,1.079296E-8
1241.9876177751055,1.936384E-11,1.0777088E-8
1243.2327118424892,2.1395457E-11,1.0761216E-8
1244.4790541225216,2.5419007E-11,1.0745344E-8
1245.7266458151194,3.0148863E-11,1.07294715E-8
1246.9754882201912,3.6711936E-11,1.07136E-8
1248.2255825376535,4.814771E-11,1.0697728E-8
1249.4769301674078,6.404352E-11,1.0681856E-8
1250.7295323093706,8.856576E-11,1.0665984E-8
1251.9833900634646,1.3022976E-10,1.0650112E-8
1253.2385049295851,1.7713152E-10,1.063424E-8
1254.494877907662,2.3236607E-10,1.06183675E-8
1255.7525104975903,2.9014016E-10,1.0602496E-8
1257.0114038992858,3.3180417E-10,1.0586624E-8
1258.271559312665,3.2783615E-10,1.0570752E-8
1259.5329780376367,2.2474751E-10,1.055488E-8
1260.7956612741168,1.6578304E-10,1.0539008E-8
