Ntau, Nsims           82          37
 -3.29629636  0.44831112  0.46335539  0.44406649  0.46214936  0.44293217  0.48383442  0.47012480  0.46039502  0.47132428  0.45903455  0.46724094  0.45716008  0.46277285  0.46254498  0.45359872  0.44912484  0.46710827  0.47184174  0.47398394  0.44740030  0.45245864  0.45905840  0.45297365  0.46463821  0.44994702  0.45022550  0.44517342  0.46282768  0.47864926  0.48093311  0.47704692  0.46331437  0.44326219  0.45795535  0.45652593  0.44928160  0.45690411
 -3.21604943  0.45400091  0.46900810  0.44919884  0.46796676  0.44879929  0.48975763  0.47582682  0.46609340  0.47721314  0.46421108  0.47292446  0.46197159  0.46833950  0.46877680  0.45834422  0.45492392  0.47415005  0.47768170  0.47959641  0.45292358  0.45773536  0.46458509  0.45768953  0.46971337  0.45568881  0.45600520  0.44981328  0.46748684  0.48543425  0.48651635  0.48331583  0.46851338  0.44872587  0.46313045  0.46132185  0.45436345  0.46176814
 -3.13580251  0.45974869  0.47466692  0.45411700  0.47382771  0.45474703  0.49577142  0.48154906  0.47185059  0.48315874  0.46943926  0.47875861  0.46676270  0.47401015  0.47500130  0.46316608  0.46080110  0.48123241  0.48360505  0.48528253  0.45854441  0.46298054  0.47014381  0.46243880  0.47481138  0.46150063  0.46187581  0.45425994  0.47261518  0.49225244  0.49215272  0.48963416  0.47392240  0.45430361  0.46828298  0.46623244  0.45951283  0.46669927
 -3.05555558  0.46554527  0.48034369  0.45915558  0.47973074  0.46077541  0.50188511  0.48731550  0.47766248  0.48916521  0.47469243  0.48475305  0.47150601  0.47978208  0.48124437  0.46795308  0.46674816  0.48835308  0.48962267  0.49107703  0.46426695  0.46823530  0.47574075  0.46730445  0.47996480  0.46736304  0.46782907  0.45868918  0.47827028  0.49911958  0.49785474  0.49600568  0.47962299  0.45993784  0.47347414  0.47116261  0.46469164  0.47157063
 -2.97530866  0.47138385  0.48604732  0.46428700  0.48566416  0.46689631  0.50809713  0.49314503  0.48354150  0.49523179  0.47997331  0.49088250  0.47638764  0.48568847  0.48750298  0.47283087  0.47276461  0.49551939  0.49573638  0.49699164  0.47009351  0.47329940  0.48138683  0.47227294  0.48518735  0.47327692  0.47385058  0.46316937  0.48449965  0.50604883  0.50361011  0.50244955  0.48562351  0.46562192  0.47883904  0.47610202  0.46993672  0.47637938
 -2.89506173  0.47728055  0.49178594  0.46936982  0.49162937  0.47312163  0.51442163  0.49901975  0.48948860  0.50137467  0.48538741  0.49717747  0.48139053  0.49174746  0.49376074  0.47789969  0.47885837  0.50273505  0.50196004  0.50300980  0.47603077  0.47837316  0.48709414  0.47731988  0.49047487  0.47925419  0.47994313  0.46780465  0.49141964  0.51305100  0.50942206  0.50897919  0.49193958  0.47148462  0.48432215  0.48122046  0.47525757  0.48134961
 -2.81481481  0.48325528  0.49758359  0.47459134  0.49764318  0.47945691  0.52088940  0.50492652  0.49549788  0.50761631  0.49090025  0.50369215  0.48641394  0.49794966  0.50002357  0.48306634  0.48502892  0.50999525  0.50831733  0.50911971  0.48207557  0.48355128  0.49287453  0.48245806  0.49586297  0.48528917  0.48612631  0.47268122  0.49915271  0.52013091  0.51531747  0.51559855  0.49861078  0.47760516  0.48993671  0.48644224  0.48065147  0.48639959
 -2.73456812  0.48931444  0.50346026  0.47979614  0.50371664  0.48591390  0.52752160  0.51091406  0.50157735  0.51395974  0.49644009  0.51044745  0.49156112  0.50431631  0.50631638  0.48836078  0.49128026  0.51730925  0.51481893  0.51533359  0.48823569  0.48870025  0.49873850  0.48764224  0.50137661  0.49136267  0.49241250  0.47785431  0.50767941  0.52730000  0.52130172  0.52232102  0.50566747  0.48395789  0.49576783  0.49175541  0.48628526  0.49147908
 -2.65432096  0.49545718  0.50941557  0.48496340  0.50987437  0.49249749  0.53432923  0.51701540  0.50774534  0.52039375  0.50208610  0.51745289  0.49679588  0.51087302  0.51266011  0.49393384  0.49761643  0.52469154  0.52146473  0.52166515  0.49451674  0.49399067  0.50470023  0.49290080  0.50698694  0.49748063  0.49881652  0.48341950  0.51700108  0.53456815  0.52737124  0.52915824  0.51312664  0.49059764  0.50168925  0.49726598  0.49227172  0.49678179
 -2.57407403  0.50170080  0.51546286  0.49033057  0.51614804  0.49923244  0.54132272  0.52320718  0.51401860  0.52691993  0.50781732  0.52476022  0.50204037  0.51761164  0.51907383  0.49973785  0.50403980  0.53215400  0.52827109  0.52811840  0.50092564  0.49920844  0.51078532  0.49831374  0.51271574  0.50367487  0.50535399  0.48956731  0.52713933  0.54193627  0.53354393  0.53611387  0.52105153  0.49760714  0.50767011  0.50283507  0.49865717  0.50228863
