     omega          i        C_T        C_L
0.50000000 1.25663706 0.99232572 0.94096147
0.50000000 1.33517688 0.99087401 0.93087248
0.50000000 1.41371669 0.98979254 0.92349240
0.50000000 1.49225651 0.98912278 0.91898538
0.50000000 1.57079633 0.98889074 0.91745054
0.55000000 0.00000000 1.02101938 1.20034074
0.55000000 0.07853982 1.02086599 1.19850383
0.55000000 0.15707963 1.02040596 1.19303220
0.55000000 0.23561945 1.01963947 1.18404950
0.55000000 0.31415927 1.01856768 1.17176059
0.55000000 0.39269908 1.01719397 1.15645136
0.55000000 0.47123890 1.01552564 1.13848663
0.55000000 0.54977871 1.01357605 1.11830531
0.55000000 0.62831853 1.01136696 1.09641230
0.55000000 0.70685835 1.00893086 1.07336580
0.55000000 0.78539816 1.00631263 1.04976015
0.55000000 0.86393798 1.00357032 1.02620538
0.55000000 0.94247780 1.00077455 1.00330541
0.55000000 1.02101761 0.99800649 0.98163707
0.55000000 1.09955743 0.99535454 0.96173254
0.55000000 1.17809725 0.99290997 0.94406610
0.55000000 1.25663706 0.99076197 0.92904520
0.55000000 1.33517688 0.98899251 0.91700536
0.55000000 1.41371669 0.98767143 0.90820792
0.55000000 1.49225651 0.98685210 0.90283935
0.55000000 1.57079633 0.98656805 0.90101155
0.60000000 0.00000000 1.02378793 1.23651993
0.60000000 0.07853982 1.02362253 1.23435305
0.60000000 0.15707963 1.02312567 1.22789727
0.60000000 0.23561945 1.02229502 1.21729337
0.60000000 0.31415927 1.02112776 1.20277635
0.60000000 0.39269908 1.01962207 1.18467693
0.60000000 0.47123890 1.01777938 1.16342150
0.60000000 0.54977871 1.01560737 1.13952907
0.60000000 0.62831853 1.01312352 1.11360301
0.60000000 0.70685835 1.01035868 1.08631597
0.60000000 0.78539816 1.00736004 1.05838716
0.60000000 0.86393798 1.00419266 1.03055402
0.60000000 0.94247780 1.00093904 1.00354157
0.60000000 1.02101761 0.99769648 0.97803466
0.60000000 1.09955743 0.99457268 0.95465604
0.60000000 1.17809725 0.99167997 0.93395179
0.60000000 1.25663706 0.98912882 0.91638379
0.60000000 1.33517688 0.98702124 0.90232692
0.60000000 1.41371669 0.98544440 0.89206969
0.60000000 1.49225651 0.98446508 0.88581600
0.60000000 1.57079633 0.98412530 0.88368746
0.65000000 0.00000000 1.02626085 1.27452333
0.65000000 0.07853982 1.02608811 1.27201044
0.65000000 0.15707963 1.02556825 1.26452150
0.65000000 0.23561945 1.02469586 1.25221273
0.65000000 0.31415927 1.02346308 1.23534681
0.65000000 0.39269908 1.02186122 1.21429739
0.65000000 0.47123890 1.01988350 1.18955289
0.65000000 0.54977871 1.01752898 1.16171687
0.65000000 0.62831853 1.01480765 1.13150148
0.65000000 0.70685835 1.01174583 1.09970957
0.65000000 0.78539816 1.00839100 1.06720415
0.65000000 0.86393798 1.00481448 1.03486784
0.65000000 0.94247780 1.00111100 1.00355968
0.65000000 1.02101761 0.99739525 0.97407776
0.65000000 1.09955743 0.99379588 0.94713348
0.65000000 1.17809725 0.99044804 0.92333775
0.65000000 1.25663706 0.98748519 0.90319707
0.65000000 1.33517688 0.98503092 0.88711561
0.65000000 1.41371669 0.98319107 0.87540002
0.65000000 1.49225651 0.98204689 0.86826482
0.65000000 1.57079633 0.98164957 0.86583705
0.70000000 0.00000000 1.02826333 1.31370368
0.70000000 0.07853982 1.02808905 1.31083451
0.70000000 0.15707963 1.02756346 1.30228065
0.70000000 0.23561945 1.02667776 1.28821060
0.70000000 0.31415927 1.02541824 1.26891011
0.70000000 0.39269908 1.02376787 1.24479116
0.70000000 0.47123890 1.02170926 1.21640180
0.70000000 0.54977871 1.01922956 1.18443329
0.70000000 0.62831853 1.01632734 1.14971780
0.70000000 0.70685835 1.01302079 1.11320837
0.70000000 0.78539816 1.00935523 1.07593622
0.70000000 0.86393798 1.00540732 1.03895054
0.70000000 0.94247780 1.00128450 1.00325621
0.70000000 1.02101761 0.99711989 0.96976484
0.70000000 1.09955743 0.99306419 0.93926727
0.70000000 1.17809725 0.98927622 0.91242480
0.70000000 1.25663706 0.98591309 0.88977286
0.70000000 1.33517688 0.98312041 0.87173034
0.70000000 1.41371669 0.98102309 0.85861029
0.70000000 1.49225651 0.97971715 0.85062926
0.70000000 1.57079633 0.97926323 0.84791462
0.75000000 0.00000000 1.02959218 1.35324650
0.75000000 0.07853982 1.02942323 1.35001810
0.75000000 0.15707963 1.02891260 1.34038896
0.75000000 0.23561945 1.02804807 1.32453523
0.75000000 0.31415927 1.02680983 1.30275856
0.75000000 0.39269908 1.02517150 1.27550091
0.75000000 0.47123890 1.02310289 1.24336344
0.75000000 0.54977871 1.02057549 1.20712577
0.75000000 0.62831853 1.01757173 1.16775367
0.75000000 0.70685835 1.01409705 1.12637782
0.75000000 0.78539816 1.01019169 1.08423111
0.75000000 0.86393798 1.00593703 1.04255510
0.75000000 0.94247780 1.00145389 1.00250844
0.75000000 1.02101761 0.99689462 0.96510683
0.75000000 1.09955743 0.99243214 0.93120026
0.75000000 1.17809725 0.98824841 0.90147681
0.75000000 1.25663706 0.98452316 0.87647876
0.75000000 1.33517688 0.98142298 0.85662162
0.75000000 1.41371669 0.97909093 0.84221102
0.75000000 1.49225651 0.97763713 0.83345618
0.75000000 1.57079633 0.97713122 0.83047929
0.80000000 0.00000000 1.03000953 1.39214431
0.80000000 0.07853982 1.02985383 1.38856261
0.80000000 0.15707963 1.02938212 1.37787396
0.80000000 0.23561945 1.02857937 1.36025593
0.80000000 0.31415927 1.02742017 1.33601586
