#Table Version   5
#[Z/Z_SOLAR]=-2.00 [A/Fe]= 0.0 GN93     | VALID RANGE:   50  50  50  50  51  54  59  67  79  82  82  82  82
#Teff(K)| Pgas@  log g =-0.50   log g = 0.00   log g = 0.50   log g = 1.00   log g = 1.50   log g = 2.00   log g = 2.50   log g = 3.00   log g = 3.50   log g = 4.00   log g = 4.50   log g = 5.00   log g = 5.50 
  3.9000000E+04  5.5573022E+02  5.7688170E+02  6.1370707E+02  6.6321395E+02  7.2282615E+02  7.9074923E+02  8.6587144E+02  9.4715827E+02  1.0327097E+03  4.3731126E+03  8.7330913E+03  1.8061418E+04  5.4306196E+04
  4.0000000E+04  5.6674584E+02  5.8436886E+02  6.1628601E+02  6.5961083E+02  7.1105770E+02  7.6716542E+02  8.2480709E+02  8.8239858E+02  9.4165237E+02  4.5915411E+03  9.1860029E+03  1.8951942E+04  5.4945587E+04
  4.1000000E+04  5.6385691E+02  5.7967448E+02  6.0929515E+02  6.5001805E+02  6.9748976E+02  7.4550986E+02  7.8705878E+02  8.1787515E+02  8.4256774E+02  4.5816841E+03  9.6920998E+03  2.0052741E+04  5.5594016E+04
  4.2000000E+04  5.4891577E+02  5.6619084E+02  5.9873149E+02  6.4403006E+02  6.9595070E+02  7.4331557E+02  7.7065923E+02  7.6481667E+02  7.3068847E+02  4.5933461E+03  1.0230046E+04  2.1303466E+04  5.6353576E+04
  4.3000000E+04  5.2689358E+02  5.5035125E+02  5.9390219E+02  6.5554803E+02  7.2689386E+02  7.8887000E+02  8.0940097E+02  7.5071109E+02  6.0374255E+02  4.6141975E+03  1.0785404E+04  2.2661728E+04  5.7327944E+04
  4.4000000E+04  5.0484508E+02  5.4040505E+02  6.0595507E+02  7.0129366E+02  8.1691079E+02  9.2462935E+02  9.6580083E+02  8.4351680E+02  4.6086242E+02  4.6331531E+03  1.1345038E+04  2.4086788E+04  5.8604404E+04
  4.5000000E+04  4.8999339E+02  5.4415041E+02  6.4481520E+02  7.9644442E+02  9.9309760E+02  1.2038900E+03  1.3470873E+03  1.2273249E+03  3.0107060E+02  4.6411296E+03  1.1910345E+04  2.5577321E+04  6.0245038E+04
  4.6000000E+04  4.8742479E+02  5.6613385E+02  7.1494610E+02  9.4703213E+02  1.2681223E+03  1.6630272E+03  2.0836247E+03  2.4676999E+03  2.9174591E+03  4.6311797E+03  1.2475315E+04  2.7140120E+04  6.2283855E+04
  4.7000000E+04  4.9818575E+02  6.0534690E+02  8.1172924E+02  1.1426582E+03  1.6207058E+03  2.2489874E+03  2.9876364E+03  3.7300208E+03  4.3058012E+03  4.5988647E+03  1.3346222E+04  2.9623553E+04  6.4718262E+04
  4.8000000E+04  5.1853771E+02  6.5446977E+02  9.2083245E+02  1.3580321E+03  2.0119718E+03  2.9161795E+03  4.0551056E+03  5.2753272E+03  6.0262861E+03  4.5415750E+03  1.4142088E+04  3.1984983E+04  6.7515375E+04
  4.9000000E+04  5.4072574E+02  7.0078816E+02  1.0189225E+03  1.5514582E+03  2.3735944E+03  3.5727739E+03  5.2376436E+03  7.4275916E+03  1.0040948E+04  1.2233152E+04  2.8040540E+04  5.9853234E+04  7.0626484E+04
  5.0000000E+04  5.5544195E+02  7.2952729E+02  1.0783919E+03  1.6693528E+03  2.6004413E+03  4.0096486E+03  6.1105956E+03  9.3075532E+03  1.4540644E+04  2.4339089E+04  5.2631708E+04  3.6454976E+04  7.3997455E+04
