#  r_c12_ag_o16 deboer sigma = 3.0 2000 point temperature grid
# T8            RATE      
2015
0.01 0.000E+00
0.02 0.000E+00
0.03 0.000E+00
0.04 0.000E+00
0.05 0.000E+00
0.06 0.000E+00
0.07 0.000E+00
0.08 0.000E+00
0.09 0.000E+00
0.1  0.000E+00
0.2  0.000E+00
0.3  0.000E+00
0.4  0.000E+00
0.5  0.000E+00
1.21200E+01                                                        4.9804476349755800E-05
1.21510E+01                                                        5.0957162876887800E-05
1.21820E+01                                                        5.2132729225031900E-05
1.22130E+01                                                        5.3331556633252200E-05
1.22440E+01                                                        5.4554031604397800E-05
1.22760E+01                                                        5.5841135428868900E-05
1.23070E+01                                                        5.7112879833896700E-05
1.23390E+01                                                        5.8451692066283700E-05
1.23700E+01                                                        5.9774369416520600E-05
1.24020E+01                                                        6.1166630766343600E-05
1.24340E+01                                                        6.2586722094165400E-05
1.24650E+01                                                        6.3989450928338200E-05
1.24970E+01                                                        6.5465708439215100E-05
1.25290E+01                                                        6.6971204669315100E-05
1.25610E+01                                                        6.8506427329592500E-05
1.25940E+01                                                        7.0121239756251100E-05
1.26260E+01                                                        7.1718371364645400E-05
1.26580E+01                                                        7.3346749510398200E-05
1.26910E+01                                                        7.5059234916129100E-05
1.27230E+01                                                        7.6752674539711200E-05
1.27560E+01                                                        7.8533368509641300E-05
1.27880E+01                                                        8.0294056647399200E-05
1.28210E+01                                                        8.2145245462656500E-05
1.28540E+01                                                        8.4033117651983700E-05
1.28870E+01                                                        8.5958287406497200E-05
1.29200E+01                                                        8.7921377572876700E-05
1.29530E+01                                                        8.9923019761390400E-05
1.29860E+01                                                        9.1963854455359400E-05
1.30190E+01                                                        9.4044531122075600E-05
1.30530E+01                                                        9.6230533481868900E-05
1.30860E+01                                                        9.8394131891229800E-05
1.31200E+01                                                        1.0066698635133200E-04
1.31530E+01                                                        1.0291629777214500E-04
1.31870E+01                                                        1.0527891972003500E-04
1.32210E+01                                                        1.0768823368096200E-04
1.32550E+01                                                        1.1014502238282800E-04
1.32890E+01                                                        1.1265007968817400E-04
1.33230E+01                                                        1.1520421073610800E-04
1.33570E+01                                                        1.1780823208615500E-04
1.33910E+01                                                        1.2046297186407800E-04
1.34250E+01                                                        1.2316926990969600E-04
1.34600E+01                                                        1.2600974852971200E-04
